nr;gemeente;provincie;status;realisatie jaar;type;vermogen;(aan)deel groter windpark;;;;;;;;;;;;;;;;;
10;Oudekerk a/d Amstel;Noord-Holland;gerealiseerd;2011;windcoöperatie;2000;;;;;;;;;;;;;;;;;;
11;Schagen;Noord-Holland;gerealiseerd;2011;windcoöperatie;2125;;;;;;;;;;;;;;;;;;
12;Schagen;Noord-Holland;gerealiseerd;2011;windcoöperatie;555;;;;;;;;;;;;;;;;;;
13;Schagen;Noord-Holland;gerealiseerd;2014;projectcoöperatie;850;;;;;;;;;;;;;;;;;;
14;Schagen;Noord-Holland;gerealiseerd;2013;projectcoöperatie;850;;;;;;;;;;;;;;;;;;
15;Schagen;Noord-Holland;gerealiseerd;2013;projectcoöperatie;850;;;;;;;;;;;;;;;;;;
16;Schagen;Noord-Holland;gerealiseerd;2013;projectcoöperatie;850;;;;;;;;;;;;;;;;;;
17;Zaandam;Noord-Holland;gerealiseerd;2011;windcoöperatie;80;;;;;;;;;;;;;;;;;;
;Assendelft;Noord-Holland;gerealiseerd;2011;windcoöperatie;80;;;;;;;;;;;;;;;;;;
18;IJmuiden;Noord-Holland;gepland;2019;windcoöperatie;1023;;;;;;;;;;;;;;;;;;
19;Medemblik;Noord-Holland;gepland;2019;windcoöperatie;1410;;;;;;;;;;;;;;;;;;
20;Medemblik;Noord-Holland;gepland;2019;windcoöperatie;-75;;;;;;;;;;;;;;;;;;
21;Medemblik;Noord-Holland;gepland;2019;projectcoöperatie;90;;;;;;;;;;;;;;;;;;
22;Schagen;Noord-Holland;gepland;2019;windcoöperatie;80;;;;;;;;;;;;;;;;;;
23;IJmuiden;Noord-Holland;voorbereiding;2021;lokale coöperatie;4000;;;;;;;;;;;;;;;;;;
24;Nieuw Vennep;Noord-Holland;plannen liggen stil;2022;windcoöperatie;6000;;;;;;;;;;;;;;;;;;
25;Nieuw Vennep;Noord-Holland;plannen liggen stil;2022;windcoöperatie;;;;;;;;;;;;;;;;;;;
26;Oudekerk a/d Amstel;Noord-Holland;plannen liggen stil;2022;windcoöperatie;;;;;;;;;;;;;;;;;;;
27;Zaandam;Noord-Holland;plannen liggen stil;2022;windcoöperatie;;;;;;;;;;;;;;;;;;;
28; Assendelft;Noord-Holland;plannen liggen stil;2022;windcoöperatie;;;;;;;;;;;;;;;;;;;
29;Amsterdam;Noord-Holland;ligt stil;2022;lokale coöperatie;4000;;;;;;;;;;;;;;;;;;
30;Amsterdam;Noord-Holland;ligt stil;2022;lokale coöperatie;10000;;;;;;;;;;;;;;;;;;
31;Hollandse Kroon;Noord-Holland;ligt stil;2022;lokale coöperatie;2500;;;;;;;;;;;;;;;;;;
1;Deventer;Overijssel;gerealiseerd;2015;lokale coöperatie;1175;;;;;;;;;;;;;;;;;;
2;Dalfsen;Overijssel;gepland;2019;lokale coöperatie;8400;;;;;;;;;;;;;;;;;;
3;Staphorst;Overijssel;gepland;2019;projectcoöperatie;6900;;;;;;;;;;;;;;;;;;
4;Hof van Twente;Overijssel;voorbereiding;2021;lokale coöperatie;40;;;;;;;;;;;;;;;;;;
5;Olst-Wijhe;Overijssel;oriëntatie;2022;lokale coöperatie;;;;;;;;;;;;;;;;;;;
6;Nijverdal;Overijssel;plannen liggen stil;;lokale coöperatie;3960;;;;;;;;;;;;;;;;;;
1;De Ronde Venen;Utrecht;gerealiseerd;2011;windcoöperatie;;;;;;;;;;;;;;;;;;;
2;Utrecht;Utrecht;gerealiseerd;2014;participatie/coop;;;;;;;;;;;;;;;;;;;
3;Vianen;Utrecht;gepland;2019;lokale coöperatie;30;;;;;;;;;;;;;;;;;;
4;Amersfoort;Utrecht;voorbereiding;2021;lokale coöperatie;50;;;;;;;;;;;;;;;;;;
5;Lopik;Utrecht;oriëntatie;2022;lokale coöperatie;;;;;;;;;;;;;;;;;;;
1;Borssele;Zeeland;gerealiseerd;2015;windcoöperatie;2350;;;;;;;;;;;;;;;;;;
2;Borssele;Zeeland;gerealiseerd;2008;windcoöperatie;900;;;;;;;;;;;;;;;;;;
3;Borssele;Zeeland;gerealiseerd;2016;windcoöperatie;2350;;;;;;;;;;;;;;;;;;
4;Borssele;Zeeland;gerealiseerd;2000;windcoöperatie;1320;;;;;;;;;;;;;;;;;;
5;Borssele;Zeeland;geamoveerd;2017;windcoöperatie;-660;;;;;;;;;;;;;;;;;;
6;Borssele;Zeeland;gerealiseerd;2004;windcoöperatie;1800;;;;;;;;;;;;;;;;;;
7;Borssele;Zeeland;gerealiseerd;2018;windcoöperatie;2300;;;;;;;;;;;;;;;;;;
8;Goes;Zeeland;gerealiseerd;1991;windcoöperatie;250;;;;;;;;;;;;;;;;;;
9;Goes;Zeeland;geamoveerd;2017;windcoöperatie;-250;;;;;;;;;;;;;;;;;;
10;Kapelle;Zeeland;gerealiseerd;2003;windcoöperatie;3960;;;;;;;;;;;;;;;;;;
11;Noord-Beveland;Zeeland;gerealiseerd;2007;windcoöperatie;4500;;;;;;;;;;;;;;;;;;
12;Reimerswaal;Zeeland;gerealiseerd;2000;windcoöperatie;1320;;;;;;;;;;;;;;;;;;
13;Schouwen- Duivenland;Zeeland;gerealiseerd;2017;windcoöperatie;360;;;;;;;;;;;;;;;;;;
14;Schouwen- Duivenland;Zeeland;gerealiseerd;2018;windcoöperatie;35190;;;;;;;;;;;;;;;;;;
15;Schouwen- Duivenland;Zeeland;gerealiseerd;1996;windcoöperatie;900;;;;;;;;;;;;;;;;;;
16;Schouwen- Duivenland;Zeeland;geamoveerd;2016;windcoöperatie;-900;;;;;;;;;;;;;;;;;;
17;Stavenisse;Zeeland;gerealiseerd;1995;windcoöperatie;675;;;;;;;;;;;;;;;;;;
18;Stavenisse;Zeeland;geamoveerd;2016;windcoöperatie;-675;;;;;;;;;;;;;;;;;;
19;Tholen;Zeeland;gerealiseerd;2016;windcoöperatie;1800;;;;;;;;;;;;;;;;;;
20;Tholen;Zeeland;gerealiseerd;2010;windcoöperatie;4600;;;;;;;;;;;;;;;;;;
21;Veere;Zeeland;gerealiseerd;2018;windcoöperatie;7350;;;;;;;;;;;;;;;;;;
22;Veere;Zeeland;gerealiseerd;1992;windcoöperatie;250;;;;;;;;;;;;;;;;;;
23;Veere;Zeeland;geamoveerd;2017;windcoöperatie;-250;;;;;;;;;;;;;;;;;;
24;Schouwen- Duivenland;Zeeland;gepland;2019;windcoöperatie;13770;;;;;;;;;;;;;;;;;;
25;Kapelle;Zeeland;voorbereiding;2021;windcoöperatie;;;;;;;;;;;;;;;;;;;
26;Noord-Beveland;Zeeland;voorbereiding;2021;windcoöperatie;80;;;;;;;;;;;;;;;;;;
27;Reimerswaal;Zeeland;voorbereiding;2021;windcoöperatie;60;;;;;;;;;;;;;;;;;;
28;Tholen;Zeeland;voorbereiding;2021;windcoöperatie;2300;;;;;;;;;;;;;;;;;;
29;;Zeeland;voorbereiding;2021;windcoöperatie;;;;;;;;;;;;;;;;;;;
30;;Zeeland;voorbereiding;;windcoöperatie;;;;;;;;;;;;;;;;;;;
1;Bodegraven;Zuid-Holland;gerealiseerd;2011;windcoöperatie;760;;;;;;;;;;;;;;;;;;
;Gouda;Zuid-Holland;gerealiseerd;2011;windcoöperatie;760;;;;;;;;;;;;;;;;;;
2;Den Haag;Zuid-Holland;gerealiseerd;2012;windcoöperatie;750;;;;;;;;;;;;;;;;;;
3;Den Haag;Zuid-Holland;geamoveerd;2015;windcoöperatie;-750;;;;;;;;;;;;;;;;;;
4;Goerree Overflakkee;Zuid-Holland;gerealiseerd;2016;anders;120;;;;;;;;;;;;;;;;;;
5;Goerree-Overflakkee;Zuid-Holland;gerealiseerd;2011;windcoöperatie;4752;;;;;;;;;;;;;;;;;;
6;Goerree-Overflakkee;Zuid-Holland;gerealiseerd;2016;windcoöperatie;120;;;;;;;;;;;;;;;;;;
7;Goerree-Overflakkee;Zuid-Holland;geamoveerd;2016;windcoöperatie;-4752;;;;;;;;;;;;;;;;;;
8;Goerree-Overflakkee;Zuid-Holland;gerealiseerd;1993;windcoöperatie;290;;;;;;;;;;;;;;;;;;
9;Goerree-Overflakkee;Zuid-Holland;gerealiseerd;2003;windcoöperatie;10500;;;;;;;;;;;;;;;;;;
10;Goerree-Overflakkee;Zuid-Holland;gepland;2019;windcoöperatie;4500;;;;;;;;;;;;;;;;;;
11;Goerree-Overflakkee;Zuid-Holland;gepland;2019;windcoöperatie;11;;;;;;;;;;;;;;;;;;
12;Goerree-Overflakkee;Zuid-Holland;gepland;2019;windcoöperatie;4500;;;;;;;;;;;;;;;;;;
13;Dordrecht;Zuid-Holland;gepland;2019;lokale coöperatie;2400;;;;;;;;;;;;;;;;;;
14;Ridderkerk;Zuid-Holland;voorbereiding;2021;lokale coöperatie;120;;;;;;;;;;;;;;;;;;
15;Schiedam;Zuid-Holland;voorbereiding;2021;lokale coöperatie;3500;;;;;;;;;;;;;;;;;;
16;Schiedam;Zuid-Holland;voorbereiding;2021;lokale coöperatie;3500;;;;;;;;;;;;;;;;;;
17;Vlaardingen;Zuid-Holland;voorbereiding;2021;lokale coöperatie;40;;;;;;;;;;;;;;;;;;
18;Voorne Putten;Zuid-Holland;voorbereiding;2021;lokale coöperatie;140;;;;;;;;;;;;;;;;;;
1;Dongeradeel;Friesland;gerealiseerd;2011;dorpsmolen;;;;;;;;;;;;;;;;;;;
2;Súdwest-Fryslân;Friesland;gerealiseerd;2011;dorpsmolen;;;;;;;;;;;;;;;;;;;
3;Súdwest-Fryslân;Friesland;gerealiseerd;;dorpsmolen;;;;;;;;;;;;;;;;;;;
4;Súdwest-Fryslân;Friesland;gerealiseerd;2011;dorpsmolen;;;;;;;;;;;;;;;;;;;
5;Súdwest-Fryslân;Friesland;gerealiseerd;2011;dorpsmolen;;;;;;;;;;;;;;;;;;;
6;Súdwest-Fryslân;Friesland;gerealiseerd;2011;dorpsmolen;;;;;;;;;;;;;;;;;;;
7;Súdwest-Fryslân;Friesland;gerealiseerd;2009;dorpsmolen;620;;;;;;;;;;;;;;;;;;
8;Súdwest-Fryslân;Friesland;gerealiseerd;1993;dorpsmolen;675;;;;;;;;;;;;;;;;;;
9;Súdwest-Fryslân;Friesland;gerealiseerd;2011;dorpsmolen;;;;;;;;;;;;;;;;;;;
10;Tytjerksteradeel;Friesland;gerealiseerd;2011;dorpsmolen;;;;;;;;;;;;;;;;;;;
11;Waadhoeke;Friesland;gerealiseerd;2011;dorpsmolen;;;;;;;;;;;;;;;;;;;
12;Waadhoeke;Friesland;gerealiseerd;2011;dorpsmolen;;;;;;;;;;;;;;;;;;;
1;Midden Groningen;Groningen;gerealiseerd;2017;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
2;Loppersum;Groningen;gerealiseerd;2018;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
3;Leek;Groningen;gerealiseerd;2018;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
4;Winsum;Groningen;gerealiseerd;2018;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
5;Midden Groningen;Groningen;gepland;2019;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
6;Groningen;Groningen;gepland;2019;lokale coöperatie;10;;;;;;;;;;;;;;;;;;
