ID;code;Perioden;TotaleOppervlakte_1;Woonterrein_7;TerreinVoorDetailhandelEnHoreca_8;TerreinVoorOpenbareVoorzieningen_9;TerreinVoorSociaalCultureleVoorz_10;TotaalAgrarischTerrein_25;IJsselmeerMarkermeer_33;TotaalBuitenwater_42
5511;GM0283;2015JJ00;;;;;;;;
5519;GM0619;2015JJ00;;;;;;;;
5527;GM0994;2015JJ00;3692;303;20;1;40;2470;;
5535;GM0720;2015JJ00;;;;;;;;
5543;GM0858;2015JJ00;5650;578;22;17;15;2475;;
5551;GM0047;2015JJ00;7868;630;26;40;22;5696;;
5559;GM0345;2015JJ00;1972;752;45;10;39;400;;
5567;GM0717;2015JJ00;20662;499;18;13;26;9457;;6458
5575;GM0860;2015JJ00;7892;620;22;17;30;5480;;
5583;GM0861;2015JJ00;3193;761;37;0;44;1219;;
5591;GM0453;2015JJ00;6317;710;40;75;30;327;;1371
5599;GM0454;2015JJ00;;;;;;;;
5607;GM0983;2015JJ00;12899;1521;92;58;181;4891;;
5615;GM0984;2015JJ00;16500;740;23;269;86;10913;;
5623;GM0862;2015JJ00;;;;;;;;
5631;GM0620;2015JJ00;4239;245;13;13;3;2658;;
5639;GM0863;2015JJ00;;;;;;;;
5647;GM0622;2015JJ00;2669;637;44;13;35;402;;
5655;GM0048;2015JJ00;17056;438;14;19;71;13946;;
5663;GM0132;2015JJ00;;;;;;;;
5671;GM0347;2015JJ00;;;;;;;;
5679;GM0096;2015JJ00;31580;25;3;3;0;4;;27596
5687;GM0864;2015JJ00;;;;;;;;
5695;GM0718;2015JJ00;34484;627;29;38;23;1226;;30942
5703;GM0623;2015JJ00;;;;;;;;
5711;GM0986;2015JJ00;3152;258;2;2;7;2525;;
5719;GM0624;2015JJ00;;;;;;;;
5727;GM0625;2015JJ00;;;;;;;;
5735;GM0626;2015JJ00;1156;344;14;1;15;443;;
5743;GM0285;2015JJ00;12647;428;20;52;51;9940;;
5751;GM0286;2015JJ00;;;;;;;;
5759;GM0133;2015JJ00;;;;;;;;
5767;GM0186;2015JJ00;;;;;;;;
5775;GM0865;2015JJ00;3444;448;12;69;131;1589;;
5783;GM0866;2015JJ00;2266;404;6;1;4;860;;
5791;GM0867;2015JJ00;6765;824;46;20;30;4229;;
5799;GM0627;2015JJ00;2940;307;14;9;7;1824;;
5807;GM0289;2015JJ00;3236;494;25;10;106;1515;;
5815;GM0628;2015JJ00;;;;;;;;
5823;GM0291;2015JJ00;;;;;;;;
5831;GM0869;2015JJ00;;;;;;;;
5839;GM0629;2015JJ00;6240;597;26;26;23;1206;;950
5847;GM0630;2015JJ00;;;;;;;;
5855;GM0852;2015JJ00;11566;225;11;6;4;4519;5964;
5863;GM0188;2015JJ00;;;;;;;;
5871;GM0988;2015JJ00;10554;848;46;83;34;5744;;
5879;GM0457;2015JJ00;2183;176;2;12;2;1503;;
5887;GM0292;2015JJ00;;;;;;;;
5895;GM0870;2015JJ00;12176;450;11;34;17;7408;;
5903;GM0459;2015JJ00;;;;;;;;
5911;GM0668;2015JJ00;8521;357;10;3;14;6296;;
5919;GM0134;2015JJ00;;;;;;;;
5927;GM0871;2015JJ00;;;;;;;;
5935;GM0558;2015JJ00;;;;;;;;
5943;GM0725;2015JJ00;;;;;;;;
5951;GM1701;2015JJ00;28274;406;24;25;44;15495;;
